CORPORATION,SURVEY,PERIOD,COMPANY_NAME,RDIST_LABEL,STATE_NAME,SITE,PADD,PRODUCT,SUPPLY,QUANTITY
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",3500
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",6000
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",6000
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,"DESULFURIZATION, DIESEL FUEL","Downstream Charge Capacity, Current Year (barrels per stream day)",6000
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,"DESULFURIZATION, DIESEL FUEL","Downstream Charge Capacity, Next Year (barrels per stream day)",6000
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",6000
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",6000
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),14021
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),14500
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,"TOTAL OPER CAP (PROJECTED, NEXT YEAR)",Atmospheric Crude Distillation Capacity (barrels per stream day),14500
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),14021
AGE REFINING & MARKETING INC,820,11,AGE REFINING INC,Texas Inland,Texas,SAN ANTONIO,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),14500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Current Year (barrels per calendar day)",14000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Current Year (barrels per stream day)",14500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"CAT HYDROCRACKING, GAS OIL","Downstream Charge Capacity, Next Year (barrels per stream day)",14500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",7680
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",8000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,HYDROGEN (MMCFD),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",22
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,HYDROGEN (MMCFD),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",22
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOBUTANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",300
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOBUTANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",300
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION(ISOOCTANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",200
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,ISOMERIZATION(ISOOCTANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",200
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,SULFUR (SHORT TONS/DAY),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",70
ALON ISRAEL OIL COMPANY LTD,820,11,ALON BAKERSFIELD OPERATING INC,West Coast,California,BAKERSFIELD,5,SULFUR (SHORT TONS/DAY),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",70
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per calendar day)",33000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per stream day)",34000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Next Year (barrels per stream day)",34000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",12000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",13000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",13000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, GASOLINE","Downstream Charge Capacity, Current Year (barrels per stream day)",18000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, GASOLINE","Downstream Charge Capacity, Next Year (barrels per stream day)",18000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",14000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",14000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",6220
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,ISOMERIZATION (ISOPENTANE/ISOHEXANE),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",6220
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),80000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),83000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,"TOTAL OPER CAP (PROJECTED, NEXT YEAR)",Atmospheric Crude Distillation Capacity (barrels per stream day),83000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),80000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),83000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,VACUUM DISTILLATION,"Downstream Charge Capacity, Current Year (barrels per stream day)",36200
ALON ISRAEL OIL COMPANY LTD,820,11,ALON REFINING KROTZ SPRINGS INC,Louisiana Gulf Coast,Louisiana,KROTZ SPRINGS,3,VACUUM DISTILLATION,"Downstream Charge Capacity, Next Year (barrels per stream day)",36200
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",5000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ALKYLATES,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",5000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,AROMATICS,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",1000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,AROMATICS,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",1000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ASPHALT & ROAD OIL,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",7600
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,ASPHALT & ROAD OIL,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",7600
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per calendar day)",23000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per stream day)",25000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Next Year (barrels per stream day)",25000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",20500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",21000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",21000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, DIESEL FUEL","Downstream Charge Capacity, Current Year (barrels per stream day)",23000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, DIESEL FUEL","Downstream Charge Capacity, Next Year (barrels per stream day)",23000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, HEAVY GAS OIL","Downstream Charge Capacity, Current Year (barrels per stream day)",6500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, HEAVY GAS OIL","Downstream Charge Capacity, Next Year (barrels per stream day)",6500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, KEROSENE AND JET","Downstream Charge Capacity, Current Year (barrels per stream day)",5000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, KEROSENE AND JET","Downstream Charge Capacity, Next Year (barrels per stream day)",5000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Current Year (barrels per stream day)",25500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"DESULFURIZATION, NAPHTHA/REFORMER FEED","Downstream Charge Capacity, Next Year (barrels per stream day)",25500
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,FUELS SOLVENT DEASPHALTING,"Downstream Charge Capacity, Current Year (barrels per stream day)",10000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,FUELS SOLVENT DEASPHALTING,"Downstream Charge Capacity, Next Year (barrels per stream day)",10000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),67000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),70000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,SULFUR (SHORT TONS/DAY),"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",150
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,SULFUR (SHORT TONS/DAY),"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",150
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,"TOTAL OPER CAP (PROJECTED, NEXT YEAR)",Atmospheric Crude Distillation Capacity (barrels per stream day),70000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per calendar day),67000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,TOTAL OPERABLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),70000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,VACUUM DISTILLATION,"Downstream Charge Capacity, Current Year (barrels per stream day)",24000
ALON ISRAEL OIL COMPANY LTD,820,11,ALON USA ENERGY INC,Texas Inland,Texas,BIG SPRING,3,VACUUM DISTILLATION,"Downstream Charge Capacity, Next Year (barrels per stream day)",24000
AMERICAN REFINING GROUP INC,820,11,AMERICAN REFINING GROUP INC,Appalachian No. 1,Pennsylvania,BRADFORD,1,ASPHALT & ROAD OIL,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",65
AMERICAN REFINING GROUP INC,820,11,AMERICAN REFINING GROUP INC,Appalachian No. 1,Pennsylvania,BRADFORD,1,ASPHALT & ROAD OIL,"Production Capacity, Next Year (barrels per stream day except sulfur and hydrogen)",65
AMERICAN REFINING GROUP INC,820,11,AMERICAN REFINING GROUP INC,Appalachian No. 1,Pennsylvania,BRADFORD,1,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per calendar day)",1200
AMERICAN REFINING GROUP INC,820,11,AMERICAN REFINING GROUP INC,Appalachian No. 1,Pennsylvania,BRADFORD,1,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",1800
AMERICAN REFINING GROUP INC,820,11,AMERICAN REFINING GROUP INC,Appalachian No. 1,Pennsylvania,BRADFORD,1,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Next Year (barrels per stream day)",1800
